merchant_id,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
M322423,49,24225.97,15,0,1,10,45,0.30612244897959184,极高,59.5,60.0,296.0,1.077957655462471,2.0299856037868733
M992288,55,22313.75,15,1,1,10,52,0.2727272727272727,极高,55.46296296296296,60.0,226.0,1.06015857298761,1.7878690712094552
M664315,49,18754.45,15,1,1,10,44,0.30612244897959184,极高,62.854166666666664,60.0,279.0,0.9345205118518369,1.5004878764167626
M606983,42,28555.03,15,0,1,10,40,0.35714285714285715,极高,68.6829268292683,120.0,225.0,0.8023444839912911,1.3892354253286678
M611233,58,30807.16,14,2,1,10,54,0.2413793103448276,极高,50.94736842105263,60.0,265.0,1.2103007926438247,1.951474950101473
M697530,53,23756.06,14,1,1,10,47,0.2641509433962264,极高,57.09615384615385,120.0,293.0,0.983002294147625,1.875564754350447
M721254,45,19982.37,14,0,1,10,42,0.3111111111111111,极高,68.02272727272727,60.0,237.0,0.8296609356626061,1.702283265710294
M725113,55,31874.24,14,1,1,10,53,0.2545454545454545,极高,55.31481481481482,240.0,182.0,0.8034444928856485,2.217093154661671
M936587,55,29496.62,14,0,1,9,51,0.2545454545454545,极高,54.77777777777778,120.0,249.0,0.8712926623223172,1.5580025580496042
M284692,50,24835.28,14,2,1,10,44,0.28,极高,59.244897959183675,120.0,246.0,0.8940245440875652,1.9368012041077318
M355709,51,23400.69,14,0,1,10,48,0.27450980392156865,极高,58.16,240.0,186.0,0.8544485078390508,2.1084782943854545
M800646,40,24209.36,14,0,1,10,36,0.35,极高,76.8974358974359,60.0,521.0,1.1632187979114899,1.4291012448469673
M456871,53,25626.03,13,0,1,10,50,0.24528301886792453,极高,55.55769230769231,120.0,193.0,0.8626453214542786,1.7709027341523027
M682789,41,14617.9,13,0,1,10,36,0.3170731707317073,极高,70.525,180.0,451.0,1.138663243242928,2.950923059078408
M587282,47,33797.18,13,0,1,10,45,0.2765957446808511,极高,64.5,240.0,285.0,0.9998457505777681,2.2304014751205603
M869440,44,19762.42,13,1,1,10,41,0.29545454545454547,极高,65.02325581395348,120.0,277.0,0.9711858605781107,3.4778209570959833
M993085,53,21724.04,12,0,1,10,46,0.22641509433962265,极高,56.73076923076923,60.0,241.0,1.000763829477999,1.8941576177032307
M965845,44,31736.64,12,1,1,9,40,0.2727272727272727,极高,69.62790697674419,180.0,224.0,0.8198902855442839,2.228500562049809
M641722,59,24526.239999999998,12,1,1,10,53,0.2033898305084746,极高,51.87931034482759,60.0,244.0,1.0655655740485819,1.9305682153865227
M526170,51,23275.95,12,0,1,10,46,0.23529411764705882,极高,59.78,180.0,211.0,0.8556332572578651,1.9749865863617595
M130094,42,17075.15,12,1,1,10,42,0.2857142857142857,极高,70.41463414634147,60.0,417.0,1.1099977336367834,1.977847239058
M472060,50,29604.49,11,1,1,10,46,0.22,极高,56.61224489795919,60.0,210.0,0.9409430741205616,2.09098731155515
M437960,45,23374.34,11,1,1,10,44,0.24444444444444444,极高,64.36363636363636,120.0,215.0,0.8551278280000595,2.6415904688223435
M300337,41,18455.73,11,0,1,10,39,0.2682926829268293,极高,73.075,180.0,339.0,0.9911605749520623,3.1736159651092697
M971084,50,29074.7,11,3,1,10,48,0.22,极高,60.61224489795919,60.0,189.0,0.8298219705171292,1.9710002221490228
M894993,51,25557.91,10,2,1,10,46,0.19607843137254902,高,58.02,120.0,234.0,0.8516844849817833,1.5935317888232086
M290672,44,18273.92,10,0,1,10,41,0.22727272727272727,极高,60.69767441860465,120.0,489.0,1.297357616586147,2.042228441685534
M782054,41,22449.21,10,0,1,10,38,0.24390243902439024,极高,72.85,60.0,304.0,0.8753029175700549,1.7296532262694166
M587455,44,31272.59,10,0,1,10,43,0.22727272727272727,极高,67.72093023255815,120.0,252.0,0.810731916066187,2.2175490072710446
M260422,50,27561.19,9,1,1,10,45,0.18,高,61.06122448979592,60.0,312.0,1.1225190214491145,2.138643201852704
M357420,54,25152.81,9,4,1,10,49,0.16666666666666666,高,54.490566037735846,60.0,346.0,1.0747266936781679,2.668576824993338
M835244,48,29782.61,9,5,1,10,46,0.1875,高,59.46808510638298,180.0,269.0,0.8745511174504076,2.3357827727438205
M886931,50,27733.47,9,3,1,10,47,0.18,高,60.40816326530612,240.0,188.0,0.739701982872855,2.7096906154875344
M440802,42,23466.63,9,4,1,10,39,0.21428571428571427,极高,73.0,60.0,311.0,0.987237949533856,1.614257316118887
M556732,52,26625.3,9,0,1,10,50,0.17307692307692307,高,57.294117647058826,120.0,175.0,0.8379589991705731,1.6108274156528064
M190872,47,30358.420000000002,8,0,1,10,42,0.1702127659574468,高,62.0,60.0,301.0,1.199655016507269,1.9481189336689912
M393243,41,16284.98,8,0,1,10,41,0.1951219512195122,高,71.2,60.0,497.0,1.2492337876782265,2.4787985699122124
M572700,44,21003.63,8,2,1,10,42,0.18181818181818182,高,66.55813953488372,540.0,272.0,0.9196316489796412,2.46873241823085
M497399,38,29042.06,8,2,1,9,35,0.21052631578947367,极高,77.54054054054055,120.0,298.0,0.9100098695486523,3.262729326097025
M556641,45,26749.71,8,1,1,10,43,0.17777777777777778,高,64.36363636363636,60.0,259.0,0.9886947463086848,2.156388032812494
M912270,52,21195.59,8,1,1,10,47,0.15384615384615385,高,56.68627450980392,60.0,271.0,1.0975764245291035,1.347086875412597
M745830,56,39195.57,7,0,1,10,52,0.125,高,54.43636363636364,60.0,541.0,1.4676049151492185,3.2373705833536817
M389688,39,20049.2,6,0,1,10,39,0.15384615384615385,高,76.10526315789474,300.0,271.0,0.8157532163123618,1.2942858444647949
M612311,41,15669.89,5,0,1,10,40,0.12195121951219512,高,71.95,480.0,245.0,0.8609271568785839,1.8724832455356397
