merchant_id,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
M393243,41,16284.98,1,0,1,10,41,0.024390243902439025,中,87.34761805555556,43.516666666666666,417.09833333333336,1.084173742816238,2.0057469467304467
M456871,53,25626.03,1,0,1,10,50,0.018867924528301886,中,67.30670940170941,16.900000000000002,301.99694444444447,1.0253716846540508,1.877938297416986
M189771,50,28353.65,1,0,1,10,48,0.02,中,72.81553287981859,105.51666666666667,324.4741666666667,0.9374241339918609,1.4185078274108027
M993085,53,21724.04,1,0,1,10,46,0.018867924528301886,中,68.68342414529914,179.93333333333334,256.4863888888889,0.8473110363431823,2.03563118939082
M947458,65,43037.42,1,0,1,10,62,0.015384615384615385,中,53.557964409722224,50.71666666666667,230.625,0.9344136159286466,3.746210181180111
M835244,48,29782.61,1,6,1,10,46,0.020833333333333332,中,75.57610520094563,147.23333333333332,368.3486111111111,1.0043468745197572,2.4548931224822708
M800646,40,24209.36,1,0,1,10,36,0.025,中,88.7646866096866,248.01666666666665,440.66027777777776,1.2699633122885086,1.6792720891557043
M721254,45,19982.37,1,0,1,10,42,0.022222222222222223,中,82.34159722222222,86.23333333333333,443.03,1.0664642100636779,3.921918162472633
M697530,53,23756.06,1,1,1,10,47,0.018867924528301886,中,68.1280608974359,6.683333333333333,359.6952777777778,1.0574733129889364,1.6316602915916587
M664315,49,18754.45,1,0,1,10,44,0.02040816326530612,中,69.0799826388889,18.466666666666665,321.2875,0.8602942317074666,2.138773848228406
M618317,51,42258.770000000004,1,7,1,10,51,0.0196078431372549,中,67.76842777777777,28.45,235.28166666666667,0.8020225694307221,1.3556763373155891
M290672,44,18273.92,0,0,1,10,41,0.0,低,77.9437984496124,149.0,336.1352777777778,0.9892778230902851,1.582000219506
M284692,50,24835.28,0,2,1,10,44,0.0,低,72.87674603174602,80.48333333333333,287.42305555555555,0.9109313875729292,1.6537324143748153
M130094,42,17075.15,0,1,1,10,42,0.0,低,87.1930081300813,150.55,345.36027777777775,0.9830823305625032,1.8848795580189701
M260422,50,27561.19,0,1,1,10,45,0.0,低,71.39662698412698,112.51666666666667,248.955,0.8729586926094716,1.6911082311676102
M389688,39,20049.2,0,0,1,10,39,0.0,低,90.07070906432747,113.6,543.6625,1.0858344281774477,2.5751016629261785
M381433,63,29181.59,0,0,1,10,61,0.0,低,57.95800179211469,25.833333333333336,243.29777777777778,0.9249936273712004,3.9065609453250554
M322423,49,24225.97,0,0,1,10,45,0.0,低,72.8682349537037,588.6166666666667,296.1533333333333,0.9205865781145585,2.975652795344096
M357420,54,25152.81,0,5,1,10,49,0.0,低,68.24531970649896,30.85,256.83805555555557,1.0049920587039107,2.1977782463434896
M526170,51,23275.95,0,1,1,10,46,0.0,低,70.11488888888888,5.6000000000000005,282.81055555555554,0.8896169825123834,2.3027189943072286
M556641,45,26749.71,0,1,1,10,43,0.0,低,76.47049242424242,163.89999999999998,269.7477777777778,0.8383232833758435,3.3021571792297686
M472060,50,29604.49,0,1,1,10,46,0.0,低,72.94753401360545,32.56666666666667,325.44138888888887,1.0508297155335722,1.8190335947234415
M440802,42,23466.63,0,3,1,10,39,0.0,低,85.52565040650407,186.23333333333332,231.28527777777776,0.6889994334183049,2.168448356956655
M611233,58,30807.16,0,2,1,10,54,0.0,低,62.65832846003899,98.05000000000001,244.32111111111112,1.0205809621512607,2.140682613362918
M587455,44,31272.59,0,0,1,10,43,0.0,低,80.52562661498709,120.16666666666667,499.5552777777778,1.1025663470017109,2.2362601352301343
M612311,41,15669.89,0,1,1,10,40,0.0,低,89.36486111111111,25.28333333333333,395.9605555555556,0.998026428894693,2.159940577992823
M641722,59,24526.239999999998,0,1,1,10,53,0.0,低,60.58299808429119,19.116666666666667,326.805,1.1112807497140607,2.45363880782423
M745830,56,39195.57,0,0,1,10,52,0.0,低,64.76711111111112,18.96666666666667,332.22444444444443,1.1000485258745865,2.9686544775201806
M682789,41,14617.9,0,0,1,10,36,0.0,低,88.57911805555555,21.116666666666667,352.82416666666666,0.9306032636798975,2.1608364303965395
M866536,59,24862.48,0,2,1,10,56,0.0,低,60.81356800766284,111.1,280.38972222222225,0.9769501270458844,2.274557423068637
M869440,44,19762.42,0,1,1,10,41,0.0,低,79.7025,261.3666666666667,440.7052777777778,1.1268136843566392,1.5854658242772135
M886931,50,27733.47,0,5,1,10,47,0.0,低,73.19535714285715,142.46666666666667,313.20972222222224,0.9060004842861987,1.3773903118498307
M894993,51,25557.91,0,2,1,10,46,0.0,低,72.00504444444445,30.400000000000002,332.9061111111111,0.8514677013211502,1.536373186683407
M936587,55,29496.62,0,1,1,9,51,0.0,低,66.30780864197531,141.45,447.2988888888889,1.174403984145654,2.864391802540374
M965845,44,31736.64,0,1,1,9,40,0.0,低,81.47102713178295,428.3833333333333,281.87555555555554,0.9011459965788813,1.9998080622583334
